SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.349224584;16.40121947
117122;GreyMatter;0.364512303;5.385164807
117122;Hippocampus;0.253746898;20.14944168
117122;Thalamus;0.650007858;10.29563014
117122;WhiteMatter;0.675489836;4.582575695
118528;Amygdala;0.339717084;16.2788206
118528;GreyMatter;0.401722916;3.741657387
118528;Hippocampus;0.241686121;20.78460969
118528;Thalamus;0.61985776;38.18376618
118528;WhiteMatter;0.540276381;6
118730;Amygdala;0.362053437;19.67231557
118730;GreyMatter;0.365843207;5.916079783
118730;Hippocampus;0.214036283;25.41653005
118730;Thalamus;0.652006625;9.539392014
118730;WhiteMatter;0.704259989;4.123105626
118932;Amygdala;0.354934602;24
118932;GreyMatter;0.408898714;5.385164807
118932;Hippocampus;0.232535395;27.44084547
118932;Thalamus;0.674596309;27.85677655
118932;WhiteMatter;0.659368379;4.472135955
120111;Amygdala;0.362877127;12.72792206
120111;GreyMatter;0.379018937;3.741657387
120111;Hippocampus;0.243560258;19.72308292
120111;Thalamus;0.603084005;30.87069808
120111;WhiteMatter;0.64290134;4.472135955
122317;Amygdala;0.454511231;24.35159132
122317;GreyMatter;0.418882732;4.358898944
122317;Hippocampus;0.257587738;21.86321111
122317;Thalamus;0.645691267;11
122317;WhiteMatter;0.609917007;5.656854249
122620;Amygdala;0.383135934;15.68438714
122620;GreyMatter;0.395483323;7.874007874
122620;Hippocampus;0.233724044;21.37755833
122620;Thalamus;0.675214996;10.19803903
122620;WhiteMatter;0.670003273;4.582575695
123117;Amygdala;0.221351767;26.83281573
123117;GreyMatter;0.368875998;8.124038405
123117;Hippocampus;0.278021948;27.31300057
123117;Thalamus;0.541957623;60.70420084
123117;WhiteMatter;0.755866051;4.242640687
123925;Amygdala;0.388544561;14.89966443
123925;GreyMatter;0.377382753;5
123925;Hippocampus;0.222456532;20.22374842
123925;Thalamus;0.670366728;30.62678566
123925;WhiteMatter;0.659949046;5.099019514
124422;Amygdala;0.512654571;15
124422;GreyMatter;0.378045862;4.582575695
124422;Hippocampus;0.264609705;18.78829423
124422;Thalamus;0.68160414;16.4924225
124422;WhiteMatter;0.537089224;6.164414003
