SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.366810297;17.80449381
117122;GreyMatter;0.377094576;5
117122;Hippocampus;0.269161263;19.46792233
117122;Thalamus;0.598010282;41.53311931
117122;WhiteMatter;0.689883637;4
118528;Amygdala;0.33765399;16.15549442
118528;GreyMatter;0.387277444;5
118528;Hippocampus;0.256182684;22.44994432
118528;Thalamus;0.589500595;41.54515616
118528;WhiteMatter;0.663196306;4.123105626
118730;Amygdala;0.394278339;20.49390153
118730;GreyMatter;0.404001635;3.741657387
118730;Hippocampus;0.243340038;21.61018278
118730;Thalamus;0.578253375;41.82104733
118730;WhiteMatter;0.645520764;4.123105626
118932;Amygdala;0.388816926;22.29349681
118932;GreyMatter;0.420294209;4.358898944
118932;Hippocampus;0.247192126;19.46792233
118932;Thalamus;0.608461521;41.10960958
118932;WhiteMatter;0.687102041;3.741657387
120111;Amygdala;0.361145704;13.03840481
120111;GreyMatter;0.364730955;4.472135955
120111;Hippocampus;0.249642329;21.37755833
120111;Thalamus;0.566797117;40.17461885
120111;WhiteMatter;0.719702702;3.16227766
122317;Amygdala;0.421353452;16.1245155
122317;GreyMatter;0.420634323;4.123105626
122317;Hippocampus;0.258626699;20.32240143
122317;Thalamus;0.61777646;42.24926035
122317;WhiteMatter;0.692162748;4.123105626
122620;Amygdala;0.400715564;16.76305461
122620;GreyMatter;0.420652359;6.32455532
122620;Hippocampus;0.256093994;20.51828453
122620;Thalamus;0.613579135;40.62019202
122620;WhiteMatter;0.662594174;4.123105626
123117;Amygdala;0.372873719;18.35755975
123117;GreyMatter;0.404966716;5.099019514
123117;Hippocampus;0.264734688;19.10497317
123117;Thalamus;0.596213351;41.30375286
123117;WhiteMatter;0.695578032;4.123105626
123925;Amygdala;0.404227213;16.40121947
123925;GreyMatter;0.37771197;4.898979486
123925;Hippocampus;0.269477912;20.61552813
123925;Thalamus;0.632001718;42.35563717
123925;WhiteMatter;0.692497464;4.123105626
124422;Amygdala;0.460831335;17.20465053
124422;GreyMatter;0.387231104;5
124422;Hippocampus;0.269094483;18.60107524
124422;Thalamus;0.65919153;41.34005322
124422;WhiteMatter;0.630251234;4.472135955
