SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.352596413;14.86606875;;Best;124422;0.4722;122620;0.442773923;123117;0.414325625;124422;37.10795063;120111;0.708633144
117122;GreyMatter;0.407331398;3.605551275;;Middle;;;;;;;;;;
117122;Hippocampus;0.402959367;19.79898987;;Worst;117122;0.352596413;120111;0.387812531;118730;0.365884522;120111;0.62359721;118730;0.64485351
117122;Thalamus;0.682623037;37.98683983;;;;;;;;;;;;
117122;WhiteMatter;0.679563504;4.242640687;;;;;;;;;;;;
118528;Amygdala;0.362420451;16.03121954;;;;;;;;;;;;
118528;GreyMatter;0.404354325;3.741657387;;;;;;;;;;;;
118528;Hippocampus;0.379962258;17.80449381;;;;;;;;;;;;
118528;Thalamus;0.640264026;36.26292873;;;;;;;;;;;;
118528;WhiteMatter;0.662118582;4.123105626;;;;;;;;;;;;
118730;Amygdala;0.398724761;25.51470164;;;;;;;;;;;;
118730;GreyMatter;0.421323751;3;;;;;;;;;;;;
118730;Hippocampus;0.365884522;17.02938637;;;;;;;;;;;;
118730;Thalamus;0.647888736;38.91015292;;;;;;;;;;;;
118730;WhiteMatter;0.64485351;4.123105626;;;;;;;;;;;;
118932;Amygdala;0.424298205;17.72004515;;;;;;;;;;;;
118932;GreyMatter;0.442658911;3;;;;;;;;;;;;
118932;Hippocampus;0.388605442;16.55294536;;;;;;;;;;;;
118932;Thalamus;0.678008972;38.89730068;;;;;;;;;;;;
118932;WhiteMatter;0.679237977;4;;;;;;;;;;;;
120111;Amygdala;0.38143567;12.20655562;;;;;;;;;;;;
120111;GreyMatter;0.387812531;3.16227766;;;;;;;;;;;;
120111;Hippocampus;0.387565221;21.09502311;;;;;;;;;;;;
120111;Thalamus;0.62359721;36.06937759;;;;;;;;;;;;
120111;WhiteMatter;0.708633144;3.605551275;;;;;;;;;;;;
122317;Amygdala;0.436657682;20.61552813;;;;;;;;;;;;
122317;GreyMatter;0.441700464;3.16227766;;;;;;;;;;;;
122317;Hippocampus;0.399625769;17.91647287;;;;;;;;;;;;
122317;Thalamus;0.689918856;38.32753579;;;;;;;;;;;;
122317;WhiteMatter;0.688332564;4.123105626;;;;;;;;;;;;
122620;Amygdala;0.425482544;19.8242276;;;;;;;;;;;;
122620;GreyMatter;0.442773923;3.741657387;;;;;;;;;;;;
122620;Hippocampus;0.394599905;17.52141547;;;;;;;;;;;;
122620;Thalamus;0.679662803;38.34057903;;;;;;;;;;;;
122620;WhiteMatter;0.659593934;4.123105626;;;;;;;;;;;;
123117;Amygdala;0.404407455;16.76305461;;;;;;;;;;;;
123117;GreyMatter;0.423864324;3.16227766;;;;;;;;;;;;
123117;Hippocampus;0.414325625;14.86606875;;;;;;;;;;;;
123117;Thalamus;0.651371873;39.37003937;;;;;;;;;;;;
123117;WhiteMatter;0.694053813;4.123105626;;;;;;;;;;;;
123925;Amygdala;0.43378119;14.03566885;;;;;;;;;;;;
123925;GreyMatter;0.397038623;3.605551275;;;;;;;;;;;;
123925;Hippocampus;0.398131803;18.13835715;;;;;;;;;;;;
123925;Thalamus;0.69744147;39.37003937;;;;;;;;;;;;
123925;WhiteMatter;0.691543391;4.123105626;;;;;;;;;;;;
124422;Amygdala;0.4722;15.84297952;;;;;;;;;;;;
124422;GreyMatter;0.404001116;3.605551275;;;;;;;;;;;;
124422;Hippocampus;0.399939881;14.96662955;;;;;;;;;;;;
124422;Thalamus;0.712062155;37.10795063;;;;;;;;;;;;
124422;WhiteMatter;0.652916827;4.242640687;;;;;;;;;;;;
