SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.339154808;18.60107524
117122;GreyMatter;0.374166902;4.69041576
117122;Hippocampus;0.264109109;20.80865205
117122;Thalamus;0.638263257;36.52396474
117122;WhiteMatter;0.64916085;4.898979486
118528;Amygdala;0.317577696;18.43908891
118528;GreyMatter;0.378373423;5.477225575
118528;Hippocampus;0.249599133;21.28379665
118528;Thalamus;0.632670455;33.52610923
118528;WhiteMatter;0.651025431;4.358898944
118730;Amygdala;0.382627119;16.30950643
118730;GreyMatter;0.384142085;3.16227766
118730;Hippocampus;0.240679543;20.34698995
118730;Thalamus;0.105878334;54.31390246
118730;WhiteMatter;0.386484559;5
118932;Amygdala;0.394603346;16.64331698
118932;GreyMatter;0.430611872;3.741657387
118932;Hippocampus;0.252587782;20.80865205
118932;Thalamus;0.65335907;34.2636834
118932;WhiteMatter;0.647696512;4.242640687
120111;Amygdala;0.343138219;13.89244399
120111;GreyMatter;0.365502768;4.472135955
120111;Hippocampus;0.246265719;20.61552813
120111;Thalamus;0.61089566;33.51119216
120111;WhiteMatter;0.688819174;4
122317;Amygdala;0.399137931;25.61249695
122317;GreyMatter;0.422862612;4.123105626
122317;Hippocampus;0.253750071;21.63330765
122317;Thalamus;0.664000213;38.23610859
122317;WhiteMatter;0.684127996;4.242640687
122620;Amygdala;0.38147193;22.4053565
122620;GreyMatter;0.409185556;7
122620;Hippocampus;0.245566292;21.9317122
122620;Thalamus;0.652257873;35.90264614
122620;WhiteMatter;0.65043635;4.472135955
123117;Amygdala;0.346728382;18.27566688
123117;GreyMatter;0.409941869;5.196152423
123117;Hippocampus;0.261697145;20.02498439
123117;Thalamus;0.645772595;38.91015292
123117;WhiteMatter;0.688635927;4.242640687
123925;Amygdala;0.377549964;17.72004515
123925;GreyMatter;0.379440343;4.898979486
123925;Hippocampus;0.263613256;21.42428529
123925;Thalamus;0.680302854;37.42993454
123925;WhiteMatter;0.689637208;4.242640687
124422;Amygdala;0.426570267;33.12099032
124422;GreyMatter;0.394294852;5
124422;Hippocampus;0.260528158;33.52610923
124422;Thalamus;0.709615894;39.33192088
124422;WhiteMatter;0.657404091;4.242640687
