SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.377160567;15.13274595;;Best;124422;0.495920314;122620;0.435477877;124422;0.422945613;124422;0.714188232;120111;0.721593811
122620;GreyMatter;0.435477877;4.123105626;;Middle;118932;0.431195923;118528;0.402469715;122317;0.404594595;118932;0.658511059;117122;0.691936271
117122;Hippocampus;0.41020959;14.03566885;;Worst;117122;0.377160567;120111;0.377865987;118730;0.363180281;120111;0.619098021;124422;0.632361983
120111;Thalamus;0.619098021;41.0487515;;;;;;;;;;;;
124422;WhiteMatter;0.632361983;4.472135955;;;;;;;;;;;;
118528;Amygdala;0.394644116;15.16575089;;;;;;;;;;;;
122317;GreyMatter;0.433644;3.31662479;;;;;;;;;;;;
118528;Hippocampus;0.384854557;19.46792233;;;;;;;;;;;;
118730;Thalamus;0.631717739;41.44876355;;;;;;;;;;;;
118730;WhiteMatter;0.648468394;4.123105626;;;;;;;;;;;;
120111;Amygdala;0.395705521;11;;;;;;;;;;;;
118932;GreyMatter;0.432107987;3.31662479;;;;;;;;;;;;
118730;Hippocampus;0.363180281;13.92838828;;;;;;;;;;;;
118528;Thalamus;0.640924637;41.54515616;;;;;;;;;;;;
118528;WhiteMatter;0.665916144;4.123105626;;;;;;;;;;;;
118730;Amygdala;0.427115539;15.93737745;;;;;;;;;;;;
123117;GreyMatter;0.417949403;3.605551275;;;;;;;;;;;;
118932;Hippocampus;0.386022911;14.35270009;;;;;;;;;;;;
123117;Thalamus;0.644731362;41.43669871;;;;;;;;;;;;
122620;WhiteMatter;0.666233992;4.123105626;;;;;;;;;;;;
118932;Amygdala;0.431195923;17.23368794;;;;;;;;;;;;
118730;GreyMatter;0.417790523;3.16227766;;;;;;;;;;;;
120111;Hippocampus;0.388770954;13.60147051;;;;;;;;;;;;
118932;Thalamus;0.658511059;41.0487515;;;;;;;;;;;;
118932;WhiteMatter;0.690231453;4;;;;;;;;;;;;
123117;Amygdala;0.433780228;14.76482306;;;;;;;;;;;;
118528;GreyMatter;0.402469715;3.741657387;;;;;;;;;;;;
122317;Hippocampus;0.404594595;14.52583905;;;;;;;;;;;;
122620;Thalamus;0.667060852;42.21374184;;;;;;;;;;;;
117122;WhiteMatter;0.691936271;4.123105626;;;;;;;;;;;;
122620;Amygdala;0.441906435;15.42724862;;;;;;;;;;;;
124422;GreyMatter;0.401122499;4;;;;;;;;;;;;
122620;Hippocampus;0.40558655;16.15549442;;;;;;;;;;;;
117122;Thalamus;0.669295397;41.27953488;;;;;;;;;;;;
122317;WhiteMatter;0.693642378;4.123105626;;;;;;;;;;;;
123925;Amygdala;0.450667612;14.2126704;;;;;;;;;;;;
117122;GreyMatter;0.390716618;4.123105626;;;;;;;;;;;;
123117;Hippocampus;0.411859963;14.31782106;;;;;;;;;;;;
122317;Thalamus;0.680498151;43.61192497;;;;;;;;;;;;
123925;WhiteMatter;0.695930323;4.123105626;;;;;;;;;;;;
122317;Amygdala;0.459713297;14.45683229;;;;;;;;;;;;
123925;GreyMatter;0.389936578;4;;;;;;;;;;;;
123925;Hippocampus;0.400730907;16.09347694;;;;;;;;;;;;
123925;Thalamus;0.68768202;44.14748011;;;;;;;;;;;;
123117;WhiteMatter;0.699269352;4.123105626;;;;;;;;;;;;
124422;Amygdala;0.495920314;14.59451952;;;;;;;;;;;;
120111;GreyMatter;0.377865987;3.605551275;;;;;;;;;;;;
124422;Hippocampus;0.422945613;11.5758369;;;;;;;;;;;;
124422;Thalamus;0.714188232;41.48493703;;;;;;;;;;;;
120111;WhiteMatter;0.721593811;3.16227766;;;;;;;;;;;;
