SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.363031599;15.5241747;;Best;124422;0.447378419;118932;0.441172093;123117;0.420615129;124422;0.728394729;123925;0.693497299
117122;GreyMatter;0.385727504;3.741657387;;Middle;122620;0.417058703;124422;0.409354951;123925;0.393990227;117122;0.671111912;124422;0.661039582
117122;Hippocampus;0.393039762;20.73644135;;Worst;118730;0.240908216;120111;0.376947871;118730;0.372810643;118730;0.160852093;118730;0.53098447
117122;Thalamus;0.671111912;26.30589288;;;;;;;;;;;;
117122;WhiteMatter;0.655854125;4.582575695;;;;;;;;;;;;
118528;Amygdala;0.362076362;16.09347694;;;;;;;;;;;;
118528;GreyMatter;0.390147791;4.123105626;;;;;;;;;;;;
118528;Hippocampus;0.377719995;17.74823935;;;;;;;;;;;;
118528;Thalamus;0.647227556;22.49444376;;;;;;;;;;;;
118528;WhiteMatter;0.656664267;4.242640687;;;;;;;;;;;;
118730;Amygdala;0.240908216;13.96424004;;;;;;;;;;;;
118730;GreyMatter;0.404658045;3;;;;;;;;;;;;
118730;Hippocampus;0.372810643;14.89966443;;;;;;;;;;;;
118730;Thalamus;0.160852093;53.24471805;;;;;;;;;;;;
118730;WhiteMatter;0.53098447;5;;;;;;;;;;;;
118932;Amygdala;0.433809524;13.49073756;;;;;;;;;;;;
118932;GreyMatter;0.441172093;3;;;;;;;;;;;;
118932;Hippocampus;0.401521522;15.93737745;;;;;;;;;;;;
118932;Thalamus;0.679923151;25.8069758;;;;;;;;;;;;
118932;WhiteMatter;0.652419586;4.242640687;;;;;;;;;;;;
120111;Amygdala;0.378778403;11.04536102;;;;;;;;;;;;
120111;GreyMatter;0.376947871;3.31662479;;;;;;;;;;;;
120111;Hippocampus;0.387214081;18.68154169;;;;;;;;;;;;
120111;Thalamus;0.621220196;23.55843798;;;;;;;;;;;;
120111;WhiteMatter;0.691975946;4;;;;;;;;;;;;
122317;Amygdala;0.422283356;18.38477631;;;;;;;;;;;;
122317;GreyMatter;0.435898233;3.31662479;;;;;;;;;;;;
122317;Hippocampus;0.405615942;18.46618531;;;;;;;;;;;;
122317;Thalamus;0.694008757;27.76688675;;;;;;;;;;;;
122317;WhiteMatter;0.686943548;4.358898944;;;;;;;;;;;;
122620;Amygdala;0.417058703;18.46618531;;;;;;;;;;;;
122620;GreyMatter;0.42195667;4.582575695;;;;;;;;;;;;
122620;Hippocampus;0.386191711;18.02775638;;;;;;;;;;;;
122620;Thalamus;0.67319552;22.49444376;;;;;;;;;;;;
122620;WhiteMatter;0.65531897;4.472135955;;;;;;;;;;;;
123117;Amygdala;0.404047453;14.31782106;;;;;;;;;;;;
123117;GreyMatter;0.422935665;3.605551275;;;;;;;;;;;;
123117;Hippocampus;0.420615129;15.77973384;;;;;;;;;;;;
123117;Thalamus;0.668511744;30.23243292;;;;;;;;;;;;
123117;WhiteMatter;0.692910767;4.242640687;;;;;;;;;;;;
123925;Amygdala;0.421672033;14.62873884;;;;;;;;;;;;
123925;GreyMatter;0.391792475;4;;;;;;;;;;;;
123925;Hippocampus;0.393990227;19.20937271;;;;;;;;;;;;
123925;Thalamus;0.701938012;33.30165161;;;;;;;;;;;;
123925;WhiteMatter;0.693497299;4.242640687;;;;;;;;;;;;
124422;Amygdala;0.447378419;26.92582404;;;;;;;;;;;;
124422;GreyMatter;0.409354951;4;;;;;;;;;;;;
124422;Hippocampus;0.410282141;38.20994635;;;;;;;;;;;;
124422;Thalamus;0.728394729;32.81767816;;;;;;;;;;;;
124422;WhiteMatter;0.661039582;4.242640687;;;;;;;;;;;;
