SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.338113864;15.06651917;;Best ;124422;0.516888889;122317;0.428559885;124422;0.418722787;124422;0.709133787;123117;0.76093898
117122;GreyMatter;0.379832536;4.582575695;;Middle;120111;0.385061715;124422;0.394787518;122620;0.36183666;122317;0.685739607;118932;0.676505032
117122;Hippocampus;0.388123091;15.65247584;;Worst;123117;0.265609362;123117;0.370373549;118730;0.314834379;123117;0.579710752;118528;0.504272845
117122;Thalamus;0.686061959;22.4053565;;;;;;;;;;;;
117122;WhiteMatter;0.691741563;4.242640687;;;;;;;;;;;;
118528;Amygdala;0.384783358;15;;;;;;;;;;;;
118528;GreyMatter;0.407906457;3.464101615;;;;;;;;;;;;
118528;Hippocampus;0.40323121;19.39071943;;;;;;;;;;;;
118528;Thalamus;0.635844894;41.47288271;;;;;;;;;;;;
118528;WhiteMatter;0.504272845;5.830951895;;;;;;;;;;;;
118730;Amygdala;0.354373054;13.45362405;;;;;;;;;;;;
118730;GreyMatter;0.383060262;4.898979486;;;;;;;;;;;;
118730;Hippocampus;0.314834379;17.20465053;;;;;;;;;;;;
118730;Thalamus;0.656540911;21.79449472;;;;;;;;;;;;
118730;WhiteMatter;0.716182965;3.605551275;;;;;;;;;;;;
118932;Amygdala;0.358789766;19.94993734;;;;;;;;;;;;
118932;GreyMatter;0.418516139;4.123105626;;;;;;;;;;;;
118932;Hippocampus;0.346059665;25.88435821;;;;;;;;;;;;
118932;Thalamus;0.697126965;27.31300057;;;;;;;;;;;;
118932;WhiteMatter;0.676505032;4.242640687;;;;;;;;;;;;
120111;Amygdala;0.385061715;11.18033989;;;;;;;;;;;;
120111;GreyMatter;0.389346042;3.31662479;;;;;;;;;;;;
120111;Hippocampus;0.397221701;15;;;;;;;;;;;;
120111;Thalamus;0.625211057;35.41186242;;;;;;;;;;;;
120111;WhiteMatter;0.660066049;4.123105626;;;;;;;;;;;;
122317;Amygdala;0.454279444;16.58312395;;;;;;;;;;;;
122317;GreyMatter;0.428559885;3.31662479;;;;;;;;;;;;
122317;Hippocampus;0.39391907;18.05547009;;;;;;;;;;;;
122317;Thalamus;0.685739607;23.85372088;;;;;;;;;;;;
122317;WhiteMatter;0.622318653;5.385164807;;;;;;;;;;;;
122620;Amygdala;0.405419275;14.86606875;;;;;;;;;;;;
122620;GreyMatter;0.412411817;6.08276253;;;;;;;;;;;;
122620;Hippocampus;0.36183666;36.3868108;;;;;;;;;;;;
122620;Thalamus;0.683074113;24.10394159;;;;;;;;;;;;
122620;WhiteMatter;0.684031432;4.242640687;;;;;;;;;;;;
123117;Amygdala;0.265609362;25.49509757;;;;;;;;;;;;
123117;GreyMatter;0.370373549;8.124038405;;;;;;;;;;;;
123117;Hippocampus;0.34310634;22.49444376;;;;;;;;;;;;
123117;Thalamus;0.579710752;57.07013229;;;;;;;;;;;;
123117;WhiteMatter;0.76093898;6.32455532;;;;;;;;;;;;
123925;Amygdala;0.402006899;13.45362405;;;;;;;;;;;;
123925;GreyMatter;0.390712894;4.123105626;;;;;;;;;;;;
123925;Hippocampus;0.353014011;18.57417562;;;;;;;;;;;;
123925;Thalamus;0.685955539;34.66987165;;;;;;;;;;;;
123925;WhiteMatter;0.679027755;4.582575695;;;;;;;;;;;;
124422;Amygdala;0.516888889;13;;;;;;;;;;;;
124422;GreyMatter;0.394787518;4;;;;;;;;;;;;
124422;Hippocampus;0.418722787;14.17744688;;;;;;;;;;;;
124422;Thalamus;0.709133787;35.6931366;;;;;;;;;;;;
124422;WhiteMatter;0.553100663;5.744562647;;;;;;;;;;;;
