SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.354427446;14.59451952;;Best;124422;0.427244023;118932;0.432195108;117122;0.42601008;118528;0.629997393;120111;0.704348858
117122;GreyMatter;0.41831045;3.741657387;;Middle;122620;0.387959223;123117;0.416055263;120111;0.381341945;117122;0.680335851;122317;0.652041263
117122;Hippocampus;0.42601008;14.86606875;;Worst;118528;0.324828263;120111;0.369004059;118730;0.328552803;124422;0.734242979;117122;0.619668062
117122;Thalamus;0.680335851;39.12799509;;;;;;;;;;;;
117122;WhiteMatter;0.619668062;5.099019514;;;;;;;;;;;;
118528;Amygdala;0.324828263;15.3622915;;;;;;;;;;;;
118528;GreyMatter;0.394155946;4.123105626;;;;;;;;;;;;
118528;Hippocampus;0.379724907;14.49137675;;;;;;;;;;;;
118528;Thalamus;0.629997393;19.72308292;;;;;;;;;;;;
118528;WhiteMatter;0.634528781;5.385164807;;;;;;;;;;;;
118730;Amygdala;0.349706403;13.19090596;;;;;;;;;;;;
118730;GreyMatter;0.389746303;4.123105626;;;;;;;;;;;;
118730;Hippocampus;0.328552803;13.89244399;;;;;;;;;;;;
118730;Thalamus;0.651107213;17.02938637;;;;;;;;;;;;
118730;WhiteMatter;0.697913628;5.099019514;;;;;;;;;;;;
118932;Amygdala;0.394266766;14;;;;;;;;;;;;
118932;GreyMatter;0.432195108;3.16227766;;;;;;;;;;;;
118932;Hippocampus;0.381854284;15.29705854;;;;;;;;;;;;
118932;Thalamus;0.703186502;21.11871208;;;;;;;;;;;;
118932;WhiteMatter;0.640989549;5.385164807;;;;;;;;;;;;
120111;Amygdala;0.349301205;12.72792206;;;;;;;;;;;;
120111;GreyMatter;0.369004059;4;;;;;;;;;;;;
120111;Hippocampus;0.381341945;13.41640786;;;;;;;;;;;;
120111;Thalamus;0.632663426;17.80449381;;;;;;;;;;;;
120111;WhiteMatter;0.704348858;4.472135955;;;;;;;;;;;;
122317;Amygdala;0.410221772;14.59451952;;;;;;;;;;;;
122317;GreyMatter;0.423789112;3.605551275;;;;;;;;;;;;
122317;Hippocampus;0.399602745;12.64911064;;;;;;;;;;;;
122317;Thalamus;0.687112525;18.02775638;;;;;;;;;;;;
122317;WhiteMatter;0.652041263;5.656854249;;;;;;;;;;;;
122620;Amygdala;0.387959223;15;;;;;;;;;;;;
122620;GreyMatter;0.417105589;5.385164807;;;;;;;;;;;;
122620;Hippocampus;0.364653393;16.1245155;;;;;;;;;;;;
122620;Thalamus;0.695237849;16.15549442;;;;;;;;;;;;
122620;WhiteMatter;0.681243685;5.385164807;;;;;;;;;;;;
123117;Amygdala;0.376167472;13.6381817;;;;;;;;;;;;
123117;GreyMatter;0.416055263;3.605551275;;;;;;;;;;;;
123117;Hippocampus;0.380333952;14.35270009;;;;;;;;;;;;
123117;Thalamus;0.677601506;20.1246118;;;;;;;;;;;;
123117;WhiteMatter;0.679327469;5;;;;;;;;;;;;
123925;Amygdala;0.40184312;13.60147051;;;;;;;;;;;;
123925;GreyMatter;0.393338686;4.123105626;;;;;;;;;;;;
123925;Hippocampus;0.383940309;15.39480432;;;;;;;;;;;;
123925;Thalamus;0.706769111;18.46618531;;;;;;;;;;;;
123925;WhiteMatter;0.645114552;5.385164807;;;;;;;;;;;;
124422;Amygdala;0.427244023;12.88409873;;;;;;;;;;;;
124422;GreyMatter;0.397814951;4.123105626;;;;;;;;;;;;
124422;Hippocampus;0.369246862;14.86606875;;;;;;;;;;;;
124422;Thalamus;0.734242979;18.24828759;;;;;;;;;;;;
124422;WhiteMatter;0.644668615;5;;;;;;;;;;;;
