SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Dice;Grey Matter;Dice;Hippocampus;Dice;Thalamus;Dice;White Matter;Dice
117122;Amygdala;0.363273921;15.13274595;;Best;124422;0.462086716;122620;0.451028579;122620;0.391719055;124422;0.6958676;123117;0.74711655
117122;GreyMatter;0.388374083;4.123105626;;Middle;118932;0.417645047;118528;0.417455245;124422;0.35990566;118932;0.66908453;118932;0.676344456
117122;Hippocampus;0.366673821;14.86606875;;Worst;117122;0.363273921;120111;0.388356523;123925;0.325374123;120111;0.618554774;118730;0.61482181
117122;Thalamus;0.651317112;44.10215414;;;;;;;;;;;;
117122;WhiteMatter;0.684568176;4.472135955;;;;;;;;;;;;
118528;Amygdala;0.388713265;17.49285568;;;;;;;;;;;;
118528;GreyMatter;0.417455245;3.605551275;;;;;;;;;;;;
118528;Hippocampus;0.385639229;23.53720459;;;;;;;;;;;;
118528;Thalamus;0.6603126;22.11334439;;;;;;;;;;;;
118528;WhiteMatter;0.621930694;4.898979486;;;;;;;;;;;;
118730;Amygdala;0.403206587;21.84032967;;;;;;;;;;;;
118730;GreyMatter;0.429053432;3;;;;;;;;;;;;
118730;Hippocampus;0.348190876;28.93095228;;;;;;;;;;;;
118730;Thalamus;0.637401838;23.55843798;;;;;;;;;;;;
118730;WhiteMatter;0.61482181;4.898979486;;;;;;;;;;;;
118932;Amygdala;0.417645047;16.673332;;;;;;;;;;;;
118932;GreyMatter;0.437305134;3.16227766;;;;;;;;;;;;
118932;Hippocampus;0.352721376;24.22808288;;;;;;;;;;;;
118932;Thalamus;0.66908453;27.5317998;;;;;;;;;;;;
118932;WhiteMatter;0.676344456;4.123105626;;;;;;;;;;;;
120111;Amygdala;0.37784744;15.39480432;;;;;;;;;;;;
120111;GreyMatter;0.388356523;3.16227766;;;;;;;;;;;;
120111;Hippocampus;0.380552867;25.57342371;;;;;;;;;;;;
120111;Thalamus;0.618554774;22.20360331;;;;;;;;;;;;
120111;WhiteMatter;0.694797863;3.741657387;;;;;;;;;;;;
122317;Amygdala;0.432893354;22.11334439;;;;;;;;;;;;
122317;GreyMatter;0.443891026;3.16227766;;;;;;;;;;;;
122317;Hippocampus;0.383292383;25.25866188;;;;;;;;;;;;
122317;Thalamus;0.681665402;26.03843313;;;;;;;;;;;;
122317;WhiteMatter;0.674754906;4.582575695;;;;;;;;;;;;
122620;Amygdala;0.441086957;19.4422221;;;;;;;;;;;;
122620;GreyMatter;0.451028579;3.605551275;;;;;;;;;;;;
122620;Hippocampus;0.391719055;26.92582404;;;;;;;;;;;;
122620;Thalamus;0.68115399;22.86919325;;;;;;;;;;;;
122620;WhiteMatter;0.617290111;5;;;;;;;;;;;;
123117;Amygdala;0.364487927;14.28285686;;;;;;;;;;;;
123117;GreyMatter;0.398512671;4.472135955;;;;;;;;;;;;
123117;Hippocampus;0.333229407;17.52141547;;;;;;;;;;;;
123117;Thalamus;0.622545195;32.01562119;;;;;;;;;;;;
123117;WhiteMatter;0.74711655;4.123105626;;;;;;;;;;;;
123925;Amygdala;0.41818778;15.26433752;;;;;;;;;;;;
123925;GreyMatter;0.389696146;4.123105626;;;;;;;;;;;;
123925;Hippocampus;0.325374123;22.6715681;;;;;;;;;;;;
123925;Thalamus;0.690232471;27.03701167;;;;;;;;;;;;
123925;WhiteMatter;0.705688167;4.242640687;;;;;;;;;;;;
124422;Amygdala;0.462086716;12.88409873;;;;;;;;;;;;
124422;GreyMatter;0.396728322;4.123105626;;;;;;;;;;;;
124422;Hippocampus;0.35990566;16.55294536;;;;;;;;;;;;
124422;Thalamus;0.6958676;36.72873534;;;;;;;;;;;;
124422;WhiteMatter;0.65258694;4.582575695;;;;;;;;;;;;
